iso_code,total_vaccinations,total_vaccinations_per_hundred,corruption_2018
ALB,15793.0,0.55,36.0
DZA,75000.0,0.17,35.0
ARG,1252461.0,2.77,40.0
AUS,61008.0,0.24,77.0
AUT,722964.0,8.03,76.0
AZE,337315.0,3.33,25.0
BHR,305619.0,17.96,36.0
BGD,3581169.0,2.17,26.0
BRB,44859.0,15.61,68.0
BLR,20944.0,0.22,44.0
BEL,865707.0,7.47,75.0
BOL,20025.0,0.17,29.0
BRA,9739676.0,4.58,35.0
BGR,268544.0,3.86,42.0
KHM,40910.0,0.24,20.0
CAN,2169417.0,5.75,81.0
CHL,4270024.0,22.34,67.0
CHN,52520000.0,3.65,39.0
COL,206475.0,0.41,36.0
CRI,149812.0,2.94,56.0
HRV,242000.0,5.89,48.0
CYP,76176.0,8.7,59.0
CZE,771223.0,7.2,59.0
DNK,667421.0,11.52,88.0
DOM,227719.0,2.1,30.0
ECU,42114.0,0.24,34.0
EGY,1315.0,0.0,35.0
SLV,16000.0,0.25,35.0
EST,126848.0,9.56,73.0
FIN,509187.0,9.19,85.0
FRA,5016763.0,7.4,72.0
DEU,6813173.0,8.13,80.0
GRC,1024711.0,9.83,45.0
GTM,2427.0,0.01,27.0
GUY,1852.0,0.24,37.0
HND,2684.0,0.03,29.0
HKG,51800.0,0.69,76.0
HUN,1142680.0,11.83,46.0
ISL,39196.0,11.49,76.0
IND,18005503.0,1.3,41.0
IDN,3386351.0,1.24,38.0
IRN,10000.0,0.01,28.0
IRL,446474.0,9.04,73.0
ISR,8555933.0,98.85,61.0
ITA,4944619.0,8.18,52.0
JPN,39174.0,0.03,73.0
JOR,150000.0,1.47,49.0
KAZ,22294.0,0.12,31.0
KWT,175000.0,4.1,41.0
LVA,75955.0,4.03,58.0
LBN,57474.0,0.84,28.0
LTU,280565.0,10.31,59.0
LUX,42118.0,6.73,81.0
MYS,80336.0,0.25,47.0
MDV,137124.0,25.37,31.0
MLT,86854.0,19.67,54.0
MUS,3843.0,0.3,51.0
MEX,2676035.0,2.08,28.0
MNG,4926.0,0.15,37.0
MNE,1927.0,0.31,45.0
MAR,4233129.0,11.47,43.0
MMR,103142.0,0.19,29.0
NPL,402264.0,1.38,31.0
NLD,1336428.0,7.8,82.0
NZL,9431.0,0.2,87.0
NOR,544669.0,10.05,84.0
OMN,67660.0,1.32,52.0
PAK,72882.0,0.03,33.0
PAN,150411.0,3.49,37.0
PRY,1000.0,0.01,29.0
PER,314197.0,0.95,35.0
PHL,2793.0,0.0,36.0
POL,3619316.0,9.56,60.0
PRT,929133.0,9.11,64.0
QAT,140000.0,4.86,62.0
ROU,1641874.0,8.53,47.0
RUS,6010744.0,4.12,28.0
SAU,1093468.0,3.14,49.0
SEN,45638.0,0.27,45.0
SRB,1576983.0,23.18,39.0
SYC,80863.0,82.23,66.0
SGP,565000.0,9.66,85.0
SVK,490021.0,8.98,50.0
SVN,184108.0,8.86,60.0
ZAF,70527.0,0.12,43.0
KOR,225853.0,0.44,57.0
ESP,4229092.0,9.05,58.0
LKA,553821.0,2.59,38.0
SWE,853209.0,8.45,85.0
CHE,805202.0,9.3,85.0
THA,7262.0,0.01,36.0
TTO,440.0,0.03,41.0
TUR,9560038.0,11.34,41.0
UKR,12481.0,0.03,32.0
ARE,6204004.0,62.73,70.0
GBR,21946433.0,32.33,80.0
USA,82572848.0,24.69,71.0
URY,54154.0,1.56,70.0
VEN,157.0,0.0,18.0
ZWE,30658.0,0.21,22.0
