Entity,Code,hdi_2017,hdi_2019
Afghanistan,AFG,0.498,0.511
Albania,ALB,0.785,0.795
Algeria,DZA,0.754,0.748
Andorra,AND,0.858,0.868
Angola,AGO,0.581,0.581
Antigua and Barbuda,ATG,0.78,0.778
Argentina,ARG,0.825,0.845
Armenia,ARM,0.755,0.776
Australia,AUS,0.939,0.944
Austria,AUT,0.908,0.922
Azerbaijan,AZE,0.757,0.756
Bahamas,BHS,0.807,0.814
Bahrain,BHR,0.846,0.852
Bangladesh,BGD,0.608,0.632
Barbados,BRB,0.8,0.814
Belarus,BLR,0.808,0.823
Belgium,BEL,0.916,0.931
Belize,BLZ,0.708,0.716
Benin,BEN,0.515,0.545
Bhutan,BTN,0.612,0.654
Bolivia,BOL,0.693,0.718
Bosnia and Herzegovina,BIH,0.768,0.78
Botswana,BWA,0.717,0.735
Brazil,BRA,0.759,0.765
Brunei,BRN,0.853,0.838
Bulgaria,BGR,0.813,0.816
Burkina Faso,BFA,0.423,0.452
Burundi,BDI,0.417,0.433
Cambodia,KHM,0.582,0.594
Cameroon,CMR,0.556,0.563
Canada,CAN,0.926,0.929
Cape Verde,CPV,0.654,0.665
Central African Republic,CAF,0.367,0.397
Chad,TCD,0.404,0.398
Chile,CHL,0.843,0.851
China,CHN,0.752,0.761
Colombia,COL,0.747,0.767
Comoros,COM,0.503,0.554
Congo,COG,0.606,0.574
Costa Rica,CRI,0.794,0.81
Cote d'Ivoire,CIV,0.492,0.538
Croatia,HRV,0.831,0.851
Cuba,CUB,0.777,0.783
Cyprus,CYP,0.869,0.887
Czechia,CZE,0.888,0.9
Democratic Republic of Congo,COD,0.457,0.48
Denmark,DNK,0.929,0.94
Djibouti,DJI,0.476,0.524
Dominica,DMA,0.715,0.742
Dominican Republic,DOM,0.736,0.756
Ecuador,ECU,0.752,0.759
Egypt,EGY,0.696,0.707
El Salvador,SLV,0.674,0.673
Equatorial Guinea,GNQ,0.591,0.592
Eritrea,ERI,0.44,0.459
Estonia,EST,0.871,0.892
Eswatini,SWZ,0.588,0.611
Ethiopia,ETH,0.463,0.485
Fiji,FJI,0.741,0.743
Finland,FIN,0.92,0.938
France,FRA,0.901,0.901
Gabon,GAB,0.702,0.703
Gambia,GMB,0.46,0.496
Georgia,GEO,0.78,0.812
Germany,DEU,0.936,0.947
Ghana,GHA,0.592,0.611
Greece,GRC,0.87,0.888
Grenada,GRD,0.772,0.779
Guatemala,GTM,0.65,0.663
Guinea,GIN,0.459,0.477
Guinea-Bissau,GNB,0.455,0.48
Guyana,GUY,0.654,0.682
Haiti,HTI,0.498,0.51
Honduras,HND,0.617,0.634
Hong Kong,HKG,0.933,0.949
Hungary,HUN,0.838,0.854
Iceland,ISL,0.935,0.949
India,IND,0.64,0.645
Indonesia,IDN,0.694,0.718
Iran,IRN,0.798,0.783
Iraq,IRQ,0.685,0.674
Ireland,IRL,0.938,0.955
Israel,ISR,0.903,0.919
Italy,ITA,0.88,0.892
Jamaica,JAM,0.732,0.734
Japan,JPN,0.909,0.919
Jordan,JOR,0.735,0.729
Kazakhstan,KAZ,0.8,0.825
Kenya,KEN,0.59,0.601
Kiribati,KIR,0.612,0.63
Kuwait,KWT,0.803,0.806
Kyrgyzstan,KGZ,0.672,0.697
Laos,LAO,0.601,0.613
Latvia,LVA,0.847,0.866
Lebanon,LBN,0.757,0.744
Lesotho,LSO,0.52,0.527
Liberia,LBR,0.435,0.48
Libya,LBY,0.706,0.724
Liechtenstein,LIE,0.916,0.919
Lithuania,LTU,0.858,0.882
Luxembourg,LUX,0.904,0.916
Madagascar,MDG,0.519,0.528
Malawi,MWI,0.477,0.483
Malaysia,MYS,0.802,0.81
Maldives,MDV,0.717,0.74
Mali,MLI,0.427,0.434
Malta,MLT,0.878,0.895
Marshall Islands,MHL,0.708,0.704
Mauritania,MRT,0.52,0.546
Mauritius,MUS,0.79,0.804
Mexico,MEX,0.774,0.779
Micronesia (country),FSM,0.627,0.62
Moldova,MDA,0.7,0.75
Mongolia,MNG,0.741,0.737
Montenegro,MNE,0.814,0.829
Morocco,MAR,0.667,0.686
Mozambique,MOZ,0.437,0.456
Myanmar,MMR,0.578,0.583
Namibia,NAM,0.647,0.646
Nepal,NPL,0.574,0.602
Netherlands,NLD,0.931,0.944
New Zealand,NZL,0.917,0.931
Nicaragua,NIC,0.658,0.66
Niger,NER,0.354,0.394
Nigeria,NGA,0.532,0.539
North Macedonia,MKD,0.757,0.774
Norway,NOR,0.953,0.957
Oman,OMN,0.821,0.813
Pakistan,PAK,0.562,0.557
Palau,PLW,0.798,0.826
Palestine,PSE,0.686,0.708
Panama,PAN,0.789,0.815
Papua New Guinea,PNG,0.544,0.555
Paraguay,PRY,0.702,0.728
Peru,PER,0.75,0.777
Philippines,PHL,0.699,0.718
Poland,POL,0.865,0.88
Portugal,PRT,0.847,0.864
Qatar,QAT,0.856,0.848
Romania,ROU,0.811,0.828
Russia,RUS,0.816,0.824
Rwanda,RWA,0.524,0.543
Saint Kitts and Nevis,KNA,0.778,0.779
Saint Lucia,LCA,0.747,0.759
Saint Vincent and the Grenadines,VCT,0.723,0.738
Samoa,WSM,0.713,0.715
Sao Tome and Principe,STP,0.589,0.625
Saudi Arabia,SAU,0.853,0.854
Senegal,SEN,0.505,0.512
Serbia,SRB,0.787,0.806
Seychelles,SYC,0.797,0.796
Sierra Leone,SLE,0.419,0.452
Singapore,SGP,0.932,0.938
Slovakia,SVK,0.855,0.86
Slovenia,SVN,0.896,0.917
Solomon Islands,SLB,0.546,0.567
South Africa,ZAF,0.699,0.709
South Korea,KOR,0.903,0.916
South Sudan,SSD,0.388,0.433
Spain,ESP,0.891,0.904
Sri Lanka,LKA,0.77,0.782
Sudan,SDN,0.502,0.51
Suriname,SUR,0.72,0.738
Sweden,SWE,0.933,0.945
Switzerland,CHE,0.944,0.955
Syria,SYR,0.536,0.567
Tajikistan,TJK,0.65,0.668
Tanzania,TZA,0.538,0.529
Thailand,THA,0.755,0.777
Timor,TLS,0.625,0.606
Togo,TGO,0.503,0.515
Tonga,TON,0.726,0.725
Trinidad and Tobago,TTO,0.784,0.796
Tunisia,TUN,0.735,0.74
Turkey,TUR,0.791,0.82
Turkmenistan,TKM,0.706,0.715
Uganda,UGA,0.516,0.544
Ukraine,UKR,0.751,0.779
United Arab Emirates,ARE,0.863,0.89
United Kingdom,GBR,0.922,0.932
United States,USA,0.924,0.926
Uruguay,URY,0.804,0.817
Uzbekistan,UZB,0.71,0.72
Vanuatu,VUT,0.603,0.609
Venezuela,VEN,0.761,0.711
Vietnam,VNM,0.694,0.704
Yemen,YEM,0.452,0.47
Zambia,ZMB,0.588,0.584
Zimbabwe,ZWE,0.535,0.571
